ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
"Southern California Integrated Care Network, LLC",A3238,2019,CA,-3.7699999999999996,4042,3766,49,207,63,342,923,714,259,246,1,7,699,199,9947,3734,4993,-20344516,46.0,54,92.17,81.75,94.53,92.4,76.5,56.61,56.02,76.49,25.8,92.56,83.83,14.65,53.81,1.45,87.82,75.05,78.95,57.38,71.97,73.64,79.89,1.27,13.21,66.41,45685,,,2059,2689,2059,,36615
"North State Quality Care Network, LLC",A3239,2018,CA,5.773131,2836,2668,152,18,33,87,726,420,194,188,4,1,446,137,8635,4539,3376,5361496,46.17,43,0.9234,79.37,90.54,88.25,76.61,50.87,61.53,72.81,23.18,,,14.73,55.26,1.43,87.69,73.72,68.29,52.56,69.35,81.08,83.67,0,10.92,79.44,9884,22.0,45,17,178,17,45,9577
"North State Quality Care Network, LLC",A3239,2019,CA,5.12,2917,2811,116,44,8,93,863,403,194,190,2,1,474,143,8975,4939,3191,4089605,46.0,43,92.17,75.81,84.67,83.84,74.27,48.78,60.5,73.12,23.51,86.69,77.68,14.06,57.43,1.44,92.88,75.74,69.57,74.18,72,78.79,79.62,0,7.2,73.89,8282,,,15,173,15,,7993
"WakeMed Key Community Care, LLC",A3240,2018,NC,1.8373989,2091,1904,15,126,55,110,339,315,203,191,0,6,473,136,9400,3734,4259,0,50.0,31,1.0,87.59,94.95,93.1,85.92,63.98,69.15,75.46,32.98,,,14.31,51.99,1.78,77.05,71.55,73.68,59.22,68.26,74.21,78.21,12.5,12.07,75.56,26898,471.0,293,80,936,80,293,22735
"WakeMed Key Community Care, LLC",A3240,2019,NC,4.75,2079,1901,23,127,40,174,409,329,203,192,1,6,468,138,9933,4104,4172,11311608,49.0,34,97.09,88.64,95.01,93.53,85.6,66.82,69.39,75.22,28.44,94.38,90.83,14.57,51.18,1.51,80.23,68.65,62.96,61.17,66.67,72.56,80.25,3.13,9.56,76.74,28780,,,84,1052,84,,24314
TXCIN ACO,A3247,2020,TX,1.31,2626,2091,64,414,30,225,615,745,251,219,3,23,517,153,12218,6267,4240,0,0.48,35,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.33,68.55,56.16,81.82,28.39,67.47,72.73,79.24,11.11,11.92,68.4,9692,44.0,133,155,190,155,133,8791
TXCIN ACO,A3247,2019,TX,3.1,3537,2729,257,471,52,335,681,830,302,258,7,25,663,190,11183,4997,4816,1894175,46.0,54,92.17,88.87,93.92,91.88,83.64,58.1,61.65,73.52,37.44,93.99,87.54,15.11,57.29,2.22,74.2,60.78,20.69,44.05,73.67,80.73,82.33,8.33,14.33,68.96,5266,,,71,149,71,,4645
TXCIN,A3247,2018,"TX, OK",1.3932471,3436,2557,248,543,47,244,765,852,314,266,9,29,584,192,10521,4599,5061,854431,49.59,56,0.9917,90.74,94.19,93.94,88.61,58.18,61.67,74.02,31.74,,,14.62,60.37,2.53,82.08,74.39,44.44,38.08,81.33,64.81,83.69,25,12,71.03,5575,31.0,44,61,120,61,44,5030
TXCIN ACO,A3247,2021,,0.46,2705,2130,64,455,37,239,554,656,226,195,2,24,619,141,13652,7312,4061,0,50.00,35,80.52,,,,,,,,,,,,,,,64.16,68.18,64.89,75.09,84.72,68.75,14.58,6.55,73.26,7539,40.0,89,112,*,112,89,6975
TXCIN ACO,A3247,2022,,0.46,2705,2130,64,455,37,239,554,656,226,195,2,24,619,141,13652,7312,4061,0,50.00%,35,80.52,,,,,,,,,,,,,,,64.16,68.18,64.89,75.09,84.72,68.75,14.58,6.55,73.26,7539,40.0,89,112,*,112,89,6975
Piedmont Clinic ACO LLC,A3250,2022,,5.55,2418,2056,32,329,20,217,262,397,222,202,1,18,493,168,10380,3449,5158,38501796,40.00%,19,80.54,,,,,,,,,,,,,,,73.43,82.35,89.12,66.78,77.1,86.41,9.76,11.54,67.35,69954,708.0,629,338,561,338,629,55556
Piedmont Clinic ACO LLC,A3250,2018,GA,2.0016857999999997,2836,2590,60,175,41,213,456,416,273,258,1,9,621,202,9637,3001,5382,0,47.81,36,0.9561,87.54,94.07,94.23,83.35,57.16,60.04,72.99,27.87,,,15.39,60.36,2.01,83.16,67.96,72.73,86.45,66.67,71,82.33,0,11.55,66.55,42286,281.0,219,208,1131,208,219,33276
Piedmont Clinic ACO LLC,A3250,2019,"GA, AL",4.3999999999999995,2750,2436,66,238,35,215,362,432,264,246,1,12,607,191,10205,3581,5338,31646830,48.0,29,96.0,85.37,93.79,93.43,85.52,56.67,62.42,75.47,25.59,91.61,88.1,15.13,57.32,1.82,83.05,73.74,80.95,84.45,66.33,74.32,76.87,8.7,10.18,71.58,71869,,,338,1928,338,,56484
Piedmont Clinic ACO LLC,A3250,2021,,5.55,2418,2056,32,329,20,217,262,397,222,202,1,18,493,168,10380,3449,5158,38501796,40.00,19,80.54,,,,,,,,,,,,,,,73.43,82.35,89.12,66.78,77.1,86.41,9.76,11.54,67.35,69954,708.0,629,338,561,338,629,55556
Piedmont Clinic ACO LLC,A3250,2020,"GA, AL",6.09,2323,2046,48,226,24,193,242,392,220,204,1,12,475,164,9217,3216,4732,38686785,0.39,18,97.03,^,^,^,^,^,^,^,^,^,^,~,~,0.84,85.19,74.82,81.25,86.76,66.55,78.57,82.78,0,10.56,62.86,70348,558.0,544,342,2082,342,544,55408
Foundation Accountable Care Network,A3253,2020,CA,6.88,4013,3560,96,398,20,508,894,763,291,271,2,14,648,219,11288,4765,5332,9390878,0.48,48,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.72,86.33,79.63,84.38,85.54,67.97,68.69,75.28,1.59,21.05,59.96,9566,291.0,422,638,532,638,422,7027
Foundation Accountable Care Network,A3253,2022,,4.34,4283,3948,*,254,22,427,1112,823,299,285,*,10,679,231,12027,4571,5636,6047188,50.00%,57,79.24,,,,,,,,,,,,,,,78.88,91.3,89.55,62.58,75.87,83.59,15.38,16.16,64.35,8872,378.0,397,662,379,662,397,6415
Foundation Accountable Care Network,A3253,2018,CA,-1.2105502000000001,3923,3473,111,308,72,407,1006,685,315,292,3,13,732,230,11235,4741,5583,0,46.18,62,0.9236,80.88,92.7,92.11,80.72,60.81,57.18,69.81,27.4,,,15.1,55.58,1.72,69.35,68.72,90,59.78,57.9,70.99,77.7,6.12,16.12,67.55,17260,460.0,671,1002,958,1002,671,12871
Foundation Accountable Care Network,A3253,2019,CA,-8.540000000000001,5009,4435,162,426,53,417,1256,811,372,346,3,17,796,267,12464,5304,5874,-14950234,46.0,71,92.17,79.81,93.37,92.22,75.03,62.89,59.73,69.28,25.36,91.91,84.35,15.45,55.65,1.68,88.44,73.55,85.71,83.51,61.28,72.9,76.08,7.46,18.56,69.22,12523,,,849,704,849,,9160
Foundation Accountable Care Network,A3253,2021,,4.34,4283,3948,*,254,22,427,1112,823,299,285,*,10,679,231,12027,4571,5636,6047188,50.00,57,79.24,,,,,,,,,,,,,,,78.88,91.3,89.55,62.58,75.87,83.59,15.38,16.16,64.35,8872,378.0,397,662,379,662,397,6415
"Piedmont Community Health Collaborative, LLC",A3257,2018,NC,0.5254575,2714,2580,28,61,57,194,646,517,300,291,1,3,683,213,11347,3388,4850,0,49.53,56,0.9906,86.9,94.38,92.29,83.42,59.49,66.58,72.43,37.72,,,14.73,57.73,2.43,95.97,78.17,72.73,66.26,75.4,74.6,84.98,10.96,9.27,74.6,11026,79.0,47,62,180,62,47,9855
"Piedmont Community Health Collaborative, LLC",A3257,2019,NC,0.96,2808,2695,38,48,40,372,757,517,305,296,1,2,676,219,12214,3532,4598,0,46.0,66,92.17,89.86,94.73,94.7,86.14,68.17,68.45,72.6,35.76,94.65,89.14,14.69,57.38,2.39,92.74,61.14,95,56.45,72.58,75.81,70.25,33.33,9.27,76.61,11172,,,59,178,59,,10080
Empire ACO LLC,A3266,2019,"NY, FL, NJ",-8.67,6535,6003,63,243,254,255,4065,1255,536,510,2,10,982,468,18426,9996,6599,-14130823,46.0,150,92.17,85.02,93.33,92.72,81.32,60.38,59.11,64.99,26.66,91,84.15,16.26,73.3,1.91,11.04,24.68,57.78,73.7,23.86,31.66,55.38,0,30.9,38.02,8762,,,309,625,309,,4586
Empire ACO LLC,A3266,2020,"NY, FL",-5.4,4832,4379,24,186,265,309,5001,1201,448,425,1,8,743,407,20061,11256,6361,0,0.39,163,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.78,-,-,-,-,-,-,-,-,-,-,6608,154.0,201,209,482,209,201,3355
Empire ACO LLC,A3266,2021,,-15.26,6674,6182,67,243,212,223,9641,760,479,460,3,9,842,433,25295,13556,8529,0,40.00,276,74.99,,,,,,,,,,,,,,,58.71,94.12,54.68,58.81,73.61,86.35,16.67,9.87,78.42,6586,149.0,396,*,266,*,396,3448
Empire ACO LLC,A3266,2022,,-15.26,6674,6182,67,243,212,223,9641,760,479,460,3,9,842,433,25295,13556,8529,0,40.00%,276,74.99,,,,,,,,,,,,,,,58.71,94.12,54.68,58.81,73.61,86.35,16.67,9.87,78.42,6586,149.0,396,*,266,*,396,3448
Empire ACO LLC,A3266,2018,"NY, FL, NJ",-8.788473,5944,5376,72,275,255,211,3243,1069,521,491,2,12,951,436,15817,8405,6289,-13263037,44.89,134,0.8979,91.52,93.84,92.25,84.21,60.53,60.8,69.87,26.79,,,16.67,79.34,1.99,49.03,40.26,69.81,71.43,31.98,37.5,62.53,62.5,54.06,47.41,9206,127.0,331,339,601,339,331,5058
Michigan 2017 ACO,A3270,2019,MI,3.7699999999999996,3409,2998,48,278,90,453,882,367,326,302,2,14,695,210,9843,5340,2824,1860470,49.0,70,97.13,86.71,93.66,92.37,81.27,63.92,68.91,75.83,21.98,92.69,84.36,15.01,54.63,1.63,82.7,80.66,100,83.16,84.62,85.63,82.12,11.11,12.54,81.27,9065,,,20,224,20,,8676
Michigan 2017 ACO,A3270,2020,MI,11.03,2671,2342,94,188,77,287,613,365,259,240,3,10,523,175,8949,5113,2447,8085515,0.49,51,98.75,^,^,^,^,^,^,^,^,^,^,~,~,0.78,88.41,78.63,91.67,83.39,86.73,86.35,83.79,25,11.97,81.29,7334,39.0,17,21,205,21,17,6974
"Aledade Independent ACO, LLC",A3270,2018,MI,2.4938293,3605,3175,140,270,91,270,948,449,338,315,3,13,678,222,9026,4539,3039,0,48.71,77,0.9742000000000001,86.81,93.46,91.9,79.63,61.32,62.72,74.21,24.64,,,15.04,61.0,1.72,73.65,80.5,71.88,71.38,79.37,85.49,84.04,12.2,9.74,75.5,12221,47.0,25,25,308,25,25,11701
"Netrin Primary Care ACO, LLC",A3272,2022,,5.19,2985,2804,*,146,34,150,595,297,173,162,*,7,487,129,11770,4674,5422,5401715,40.00%,36,90.79,,,,,,,,,,,,,,,79.58,84,83.33,80.13,80.29,93.52,60.93,10.49,70.68,8861,145.0,637,146,276,146,637,5095
"Netrin Primary Care ACO, LLC",A3272,2021,,5.19,2985,2804,*,146,34,150,595,297,173,162,*,7,487,129,11770,4674,5422,5401715,40.00,36,90.79,,,,,,,,,,,,,,,79.58,84,83.33,80.13,80.29,93.52,60.93,10.49,70.68,8861,145.0,637,146,276,146,637,5095
"Netrin Primary Care ACO, LLC",A3272,2020,"MD, DC",5.35,3269,3107,30,140,15,217,603,344,193,184,1,7,485,147,10770,4994,4521,5592926,0.4,38,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.67,71.67,83.42,94.87,71.28,78.31,74.79,84.75,25.37,16.58,63.79,9408,46.0,543,168,607,168,543,5554
"Netrin Primary Care ACO, LLC",A3272,2018,"MD, DC",3.0176474,3210,3066,9,130,32,124,466,347,203,194,0,7,580,148,10407,4158,5488,0,46.339999999999996,41,0.9268,86.96,94.49,92.41,78.36,59.04,60.2,72.6,20.2,,,14.62,51.78,1.42,69.02,65.89,44.44,72.87,74.85,62.85,79.12,4.76,13.63,63.68,9154,54.0,460,202,637,202,460,5607
"Netrin Primary Care ACO, LLC",A3272,2019,"MD, DC",2.1999999999999997,3276,3138,26,112,6,112,487,334,198,190,1,5,541,144,11127,4496,5787,0,46.0,36,92.19,85.18,93.25,91.92,80.2,62.25,60.16,73.87,19.36,91.2,83.23,14.21,48.25,1.37,64.71,70.93,63.16,80.78,64.4,65.25,76.96,12,18.07,64.06,9071,,,202,661,202,,5282
"Nebraska Health Network, LLC",A3273,2019,"NE, IA",3.4000000000000004,3187,2889,127,169,25,217,716,488,309,295,3,8,586,185,8395,3315,3665,13162256,46.0,59,92.17,89.38,94.76,93.79,82.25,61,60.66,76.85,28.66,95.65,87.62,14.28,61.71,2.1,90.61,86.58,82.61,86,81.51,83.36,81.7,2.5,9.51,78.39,36746,,,159,1256,159,,33749
"Nebraska Health Network, LLC",A3273,2022,,1.36,2650,2472,70,111,18,282,827,491,245,238,2,4,575,171,8899,3095,3763,5331732,50.00%,61,88.64,,,,,,,,,,,,,,,85.61,83.33,91.97,84.33,88.77,92.05,5.88,4.62,75.3,35544,515.0,173,108,246,108,173,32868
"Nebraska Health Network, LLC",A3273,2020,"NE, IA",3.8600000000000003,2711,2435,138,135,33,326,698,463,266,251,4,7,506,166,7498,2892,3171,12652916,0.49,50,98.28,^,^,^,^,^,^,^,^,^,^,~,~,1.06,85.96,88.05,78.95,84.8,85.66,87.07,88.15,2.78,8.74,71.79,33355,458.0,151,120,1140,120,151,30703
"Nebraska Health Network, LLC",A3273,2021,,1.36,2650,2472,70,111,18,282,827,491,245,238,2,4,575,171,8899,3095,3763,5331732,50.00,61,88.64,,,,,,,,,,,,,,,85.61,83.33,91.97,84.33,88.77,92.05,5.88,4.62,75.3,35544,515.0,173,108,246,108,173,32868
"Nebraska Health Network, LLC",A3273,2018,"NE, IA",1.4064086999999998,3197,2874,167,176,33,183,764,495,313,297,4,8,614,188,8161,3175,3621,0,48.27,63,0.9653,87.83,94.45,93.19,85.54,54.33,57.39,75.68,25.29,,,14.48,61.99,1.68,85.88,90.46,93.75,83.85,76.06,81.23,83.16,0,11.53,80.88,34953,449.0,166,146,1114,146,166,32092
"Premier Care Community, LLC",A3274,2021,,8.99,2951,2249,78,542,30,252,491,707,255,217,3,27,543,182,12139,5808,5216,9972134,50.00,36,81.01,,,,,,,,,,,,,,,72.18,60,78.02,73.94,68.92,90.54,13.51,8.75,69.27,9567,52.0,253,209,153,209,253,8211
"Premier Care Community, LLC",A3274,2018,"TX, OK",9.0388927,3650,2754,163,576,57,223,739,1073,340,291,6,30,767,235,10956,5273,4771,12697912,48.64,57,0.9728,87.32,93.32,91.59,84.75,64.43,65.05,73.37,30.09,,,14.95,60.02,2.42,82.53,54.44,76.47,59.32,59.22,64.52,86.31,10.26,14.64,72.91,11218,68.0,313,358,361,358,313,8953
"Premier Care Community, LLC",A3274,2019,"TX, OK",10.22,3180,2428,143,485,28,228,507,886,285,242,4,25,634,191,11372,5483,4946,17822808,47.0,38,94.25,88.86,94.95,91.98,84.69,60.34,60.34,75.23,29.36,92.66,88.88,14.0,53.49,2.19,91.93,70.07,83.33,62.1,52.42,61.94,74.18,20,13.35,76.15,14853,,,332,453,332,,12462
"Premier Care Community, LLC",A3274,2022,,8.99,2951,2249,78,542,30,252,491,707,255,217,3,27,543,182,12139,5808,5216,9972134,50.00%,36,81.01,,,,,,,,,,,,,,,72.18,60,78.02,73.94,68.92,90.54,13.51,8.75,69.27,9567,52.0,253,209,153,209,253,8211
"Premier Care Community, LLC",A3274,2020,"TX, OK",9.89,2662,2022,105,447,27,187,383,712,232,198,3,22,480,158,10639,5291,4513,14927731,0.39,26,97.03,^,^,^,^,^,^,^,^,^,^,~,~,0.93,85.71,79.47,71.15,68.6,65.79,67.53,65.27,6.38,19.06,66.38,14651,81.0,267,303,448,303,267,12705
Ventura County Foundation for Medical Care ACO,A3277,2019,CA,-1.31,4896,4417,10,489,15,400,1111,1015,343,321,0,20,583,267,13355,4828,8207,0,46.0,65,92.17,85.87,93.39,91.39,83.96,54.22,55.7,74.77,24.79,93.15,84.53,16.12,64.19,2.27,75.58,71.49,100,53.72,67.8,64.53,78.11,8.57,25.63,74.56,7566,,,74,395,74,,6840
Ventura County Foundation for Medical Care ACO,A3277,2018,CA,0.9375085999999999,4666,4132,90,503,27,250,1099,970,336,312,1,21,576,252,12841,4578,7998,0,47.27,61,0.9454,85.5,92.14,90.48,82.82,53.81,56.92,73.76,27.39,,,15.34,64.19,2.29,67.7,75.24,93.33,64.25,65.88,69.76,71.54,14.29,20,83.1,8008,38.0,191,76,413,76,191,7230
"Prime Care Managers, LLC",A3280,2022,,6.02,3244,2431,156,651,41,291,516,946,269,224,5,36,618,165,10503,4443,3435,10664508,40.00%,34,86.38,,,,,,,,,,,,,,,91.31,88,75.84,77.91,87.04,88.82,77.78,5.53,76.82,15376,91.0,39,81,60,81,39,13754
"Prime Care Managers, LLC",A3280,2018,"TX, AR",-1.2770869,3448,2687,283,421,97,440,945,1166,337,299,8,20,772,220,9540,4659,3431,0,43.79,76,0.8758,91.0,94.64,92.15,83.0,53.3,61.18,71.21,31.97,,,16.04,59.0,2.27,70.1,63.03,70.59,44.33,54.33,60,72.69,0,13.65,61.36,13079,63.0,19,80,140,80,19,11540
"Prime Care Managers, LLC",A3280,2021,,6.02,3244,2431,156,651,41,291,516,946,269,224,5,36,618,165,10503,4443,3435,10664508,40.00,34,86.38,,,,,,,,,,,,,,,91.31,88,75.84,77.91,87.04,88.82,77.78,5.53,76.82,15376,91.0,39,81,60,81,39,13754
"Prime Care Managers, LLC",A3280,2020,"TX, AR",5.970000000000001,2948,2223,165,544,48,292,539,990,285,243,6,31,578,184,9377,4230,3213,9992637,0.4,41,100.0,^,^,^,^,^,^,^,^,^,^,~,~,1.16,81.49,66.61,79.17,64.06,75.08,75.26,78.46,6.35,11.04,65.42,16236,77.0,27,74,174,74,27,14257
"Prime Care Managers, LLC",A3280,2019,"TX, AR",4.569999999999999,3177,2569,202,345,89,391,728,1126,311,275,6,20,722,201,9912,4709,3362,6286697,47.0,64,93.19,90.81,94.88,92.37,83.33,56.01,65.85,72.4,30.65,93.21,88.47,15.63,56.0,2.05,75.99,61.54,80,42.05,68.85,63.87,73.91,8,16.03,64.9,12119,,,76,129,76,,10704
Roper St. Francis Health Alliance,A3281,2018,SC,0.8109229000000001,2403,2076,50,267,30,169,356,407,235,216,1,14,611,146,10417,3999,5142,0,47.92,32,0.9582999999999999,88.93,94.68,93.38,83.11,61.01,64.9,76.16,24.11,,,14.81,55.64,1.84,77.78,66.74,85.71,81.31,62.14,83.13,80.61,12.2,13.98,81.22,32707,213.0,151,52,895,52,151,26665
Roper St. Francis Health Alliance,A3281,2021,,0.12,2394,1947,39,401,24,246,347,417,213,191,1,18,572,136,11145,3614,5410,0,40.00,27,88.16,,,,,,,,,,,,,,,72.64,87.91,90.08,91.75,94.49,86.69,20.97,6.3,76.34,25164,173.0,124,*,184,*,124,20972
Roper St. Francis Health Alliance,A3281,2020,SC,2.55,2253,1854,39,355,24,288,292,384,208,188,1,16,506,131,9866,3514,4745,6226513,0.39,25,98.28,^,^,^,^,^,^,^,^,^,^,~,~,0.86,89.33,79.15,95.24,88.28,74.38,88.1,80.33,13.85,13.87,80.83,26296,222.0,124,34,786,34,124,21422
Roper St. Francis Health Alliance,A3281,2019,SC,3.08,2410,2060,41,297,27,159,272,406,224,204,1,15,581,134,10743,3930,5342,8490831,48.0,26,96.06,85.67,95.29,93.91,82.66,57.91,65.6,73.37,25.86,93.89,86.78,14.46,49.61,1.73,91.3,72.19,86.96,87.76,66.31,86.6,82.73,27.88,13.13,77.99,28048,,,48,829,48,,22473
Roper St. Francis Health Alliance,A3281,2022,,0.12,2394,1947,39,401,24,246,347,417,213,191,1,18,572,136,11145,3614,5410,0,40.00%,27,88.16,,,,,,,,,,,,,,,72.64,87.91,90.08,91.75,94.49,86.69,20.97,6.3,76.34,25164,173.0,124,*,184,*,124,20972
"St. Rose Quality Care Network, LLC",A3282,2018,NV,3.8387224,3252,2399,193,712,48,154,397,648,249,207,5,32,557,164,10249,3541,5868,3167864,48.71,29,0.9742000000000001,77.89,92.91,90.97,73.46,58.1,63.98,74.58,27.57,,,15.24,53.91,1.66,96.6,76.07,59.46,61.54,72.75,81.66,84.68,5.71,14.49,67.3,8098,43.0,544,78,751,78,544,6327
"St. Rose Quality Care Network, LLC",A3282,2019,NV,8.41,3328,2620,98,602,52,117,281,609,253,217,2,29,597,165,10342,3466,5989,4801825,46.0,22,92.17,74.21,90.58,89.81,76.93,51.48,61.28,75.32,17.1,86.22,81.06,15.5,53.37,1.77,98.38,73.61,85.71,57.72,78.2,81.36,86.78,12.5,13.72,73.11,5360,,,62,507,62,,4060
Healthcare Solutions Network,A3283,2022,,4.95,3777,3075,46,651,43,313,1013,442,373,331,1,34,673,266,10406,3773,4160,15611189,40.00%,80,85.02,,,,,,,,,,,,,,,89.98,94.44,90.04,85.48,89.8,91.3,27.59,7.63,82.26,25194,456.0,94,*,87,*,94,24021
Healthcare Solutions Network,A3283,2021,,4.95,3777,3075,46,651,43,313,1013,442,373,331,1,34,673,266,10406,3773,4160,15611189,40.00,80,85.02,,,,,,,,,,,,,,,89.98,94.44,90.04,85.48,89.8,91.3,27.59,7.63,82.26,25194,456.0,94,*,87,*,94,24021
Healthcare Solutions Network,A3283,2020,"OH, KY, IN",4.14,3133,2546,69,505,57,335,733,453,304,271,2,25,555,211,8893,3374,3960,25067978,0.4,59,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.95,95.16,85.38,96.3,64.92,84.65,82.04,90.5,50,7.26,81.47,56891,648.0,237,69,2139,69,237,52468
Healthcare Solutions Network,A3283,2018,"OH, KY, IN",-1.5583734,3332,2740,92,457,73,208,695,510,338,302,3,25,686,230,9327,3695,4272,0,47.160000000000004,60,0.9433,88.65,93.84,92.98,81.16,53.56,61.38,73.95,27.51,,,14.94,65.7,1.93,91.6,75.8,76.92,55.47,79.44,75.4,90.49,0,8.87,80.65,63862,580.0,263,78,2199,78,263,58713
Healthcare Solutions Network,A3283,2019,"OH, KY, IN",-2.4,3540,2905,78,530,59,251,717,497,340,302,2,28,664,230,9655,3795,4377,-15509896,49.0,60,97.72,88.34,94.58,93.63,82.46,58.07,63.9,74.4,30.59,95.22,88.91,14.98,64.62,1.9,93.92,79,85.71,61.2,83.13,80.65,88.56,33.33,9.09,80.43,60899,,,84,2257,84,,55582
"Collom & Carney Clinic ACO, LLC",A3285,2018,"TX, AR, OK",-3.1483808,3484,2355,142,966,53,241,317,847,316,250,5,54,626,186,9808,3531,4045,0,49.2,25,0.9841,86.17,93.65,90.87,81.55,55.87,59.85,72.05,31.11,,,14.79,50.02,1.7,92.19,87.82,91.38,85.71,84.6,82.59,84.23,7.2,9.6,59.97,7121,28.0,9,20,73,20,9,6051
"Collom & Carney Clinic ACO, LLC",A3285,2019,"TX, AR, OK",2.4,3363,2404,176,766,50,310,252,777,302,246,5,43,588,185,9913,3759,3627,0,47.0,24,93.69,86.31,94.8,92.63,84.65,53.51,59.78,73,28.29,91.82,85.44,14.42,55.62,1.45,94.35,88.95,72.92,91.3,86.83,86.03,83.41,12.17,9.29,57.34,6444,,,16,63,16,,5503
NPG Health Collaborative LLC,A3287,2018,"NE, IA, KS",0.7734956000000001,3603,3335,134,112,64,395,1931,243,322,305,4,6,631,41,8354,307,2312,0,48.68,104,0.9736,87.99,93.97,93.61,85.21,47.06,59.93,75.53,28.28,,,14.45,58.9,2.7,58.25,84.64,68.42,54.77,72.77,73.57,89.27,11.11,7.6,81.05,15412,521.0,13,49,224,49,13,15091
NPG Health Collaborative LLC,A3287,2021,,-0.02,2942,2769,85,80,26,405,1629,232,226,219,2,4,583,35,7861,175,2407,0,40.00,75,84.05,,,,,,,,,,,,,,,87.78,75,78.1,73.68,75,92.51,42.86,9.66,82.3,14952,502.0,*,73,59,73,*,14515
NPG Health Collaborative LLC,A3287,2019,"NE, IA, KS",1.8499999999999999,3291,3066,120,96,48,409,1840,224,274,261,3,5,584,45,8156,407,2363,0,47.0,87,93.5,86.44,93.36,92.22,84.46,51.42,59.24,72.42,28.47,91.84,86.73,13.98,54.08,2.26,70.45,85.04,80.95,70.4,72.22,74.82,89.3,37.04,11.56,82.12,18062,,,75,310,75,,17616
NPG Health Collaborative LLC,A3287,2022,,-0.02,2942,2769,85,80,26,405,1629,232,226,219,2,4,583,35,7861,175,2407,0,40.00%,75,84.05,,,,,,,,,,,,,,,87.78,75,78.1,73.68,75,92.51,42.86,9.66,82.3,14952,502.0,*,73,59,73,*,14515
NPG Health Collaborative LLC,A3287,2020,"NE, IA, KS",-5.0200000000000005,3028,2783,108,123,39,394,2035,249,251,239,3,6,539,41,7135,309,2154,0,0.39,90,97.19,^,^,^,^,^,^,^,^,^,^,~,~,1.36,70.99,88.31,70.27,69.42,77.69,73.25,88.09,29.73,13.08,77.2,16222,507.0,14,69,295,69,14,15814
OSF Healthcare System,A3289,2022,,7.58,2751,2567,23,162,20,172,631,390,262,252,1,7,662,187,8251,2149,3218,35324814,75.00%,49,80.35,,,,,,,,,,,,,,,98.94,96.43,70.77,82.69,85.86,90.91,12.5,11.15,82.05,44741,642.0,195,170,246,170,195,41616
OSF Healthcare System,A3289,2019,"IL, MI",2.7,3121,2893,36,158,53,312,898,423,316,302,1,8,744,210,8709,2377,3516,12618819,69.0,76,92.17,84.77,92.61,91.18,80.27,55.45,63.66,72.99,21.14,93.66,85.89,15.48,67.64,1.69,97.39,92.65,87.18,84.8,75.93,82.89,85.22,28.57,13.27,75.08,45276,,,168,1004,168,,42691
OSF Healthcare System,A3289,2018,"IL, MI",-0.3427288,3218,2953,46,167,78,336,982,413,332,314,1,8,773,220,9060,2748,3667,0,69.87,83,0.9316,85.83,95.52,92.43,78.09,59.11,65.46,72.74,22.3,,,15.7,68.46,1.68,97.04,95.32,96.97,69.31,75.43,80.67,86.21,7.78,16.55,74.9,45153,439.0,140,159,911,159,140,42610
OSF Healthcare System,A3289,2020,"IL, MI",5.57,2674,2478,38,136,45,309,800,387,269,257,1,7,611,187,7737,2049,3040,24381089,0.74,61,98.13,^,^,^,^,^,^,^,^,^,^,~,~,0.83,98.72,95.93,90.32,77.52,82.71,83.9,88.94,16.3,12.88,74.16,45220,596.0,162,172,1106,172,162,42500
OSF Healthcare System,A3289,2021,,7.58,2751,2567,23,162,20,172,631,390,262,252,1,7,662,187,8251,2149,3218,35324814,75.00,49,80.35,,,,,,,,,,,,,,,98.94,96.43,70.77,82.69,85.86,90.91,12.5,11.15,82.05,44741,642.0,195,170,246,170,195,41616
Arkansas 2017 ACO,A3299,2019,AR,-0.32,3050,2415,77,471,96,265,476,370,299,258,2,27,636,176,10727,5716,3552,0,46.0,43,92.17,89.82,94.22,93.28,84.86,53.8,66.06,73.42,22.25,93.93,86.12,15.18,54.64,1.97,84.83,75.99,58.62,69.18,82.77,77.57,78.95,8.2,9.46,78.98,13962,,,54,209,54,,12069
